id,timestamp,statusSeverity,statusSeverityDescription
central,2019-12-17T10:51:50,10,Good Service
circle,2019-12-17T10:51:50,6,Severe Delays
district,2019-12-17T10:51:50,6,Severe Delays
hammersmith-city,2019-12-17T10:51:50,6,Severe Delays
jubilee,2019-12-17T10:51:50,10,Good Service
metropolitan,2019-12-17T10:51:50,6,Severe Delays
northern,2019-12-17T10:51:50,10,Good Service
piccadilly,2019-12-17T10:51:50,10,Good Service
victoria,2019-12-17T10:51:50,10,Good Service
waterloo-city,2019-12-17T10:51:50,10,Good Service
bakerloo,2019-12-16T16:51:50,10,Good Service
central,2019-12-16T16:51:50,9,Minor Delays
circle,2019-12-16T16:51:50,10,Good Service
district,2019-12-16T16:51:50,10,Good Service
hammersmith-city,2019-12-16T16:51:50,10,Good Service
jubilee,2019-12-16T16:51:50,10,Good Service
metropolitan,2019-12-16T16:51:50,6,Severe Delays
northern,2019-12-16T16:51:50,10,Good Service
piccadilly,2019-12-16T16:51:50,10,Good Service
victoria,2019-12-16T16:51:50,10,Good Service
waterloo-city,2019-12-16T16:51:50,10,Good Service
bakerloo,2019-12-18T08:51:51,6,Severe Delays
central,2019-12-18T08:51:51,10,Good Service
circle,2019-12-18T08:51:51,10,Good Service
district,2019-12-18T08:51:51,10,Good Service
hammersmith-city,2019-12-18T08:51:51,10,Good Service
jubilee,2019-12-18T08:51:51,10,Good Service
metropolitan,2019-12-18T08:51:51,10,Good Service
northern,2019-12-18T08:51:51,10,Good Service
piccadilly,2019-12-18T08:51:51,10,Good Service
victoria,2019-12-18T08:51:51,10,Good Service
waterloo-city,2019-12-18T08:51:51,10,Good Service
bakerloo,2019-12-06T12:51:50,10,Good Service
central,2019-12-06T12:51:50,10,Good Service
circle,2019-12-06T12:51:50,9,Minor Delays
district,2019-12-06T12:51:50,9,Minor Delays
hammersmith-city,2019-12-06T12:51:50,10,Good Service
jubilee,2019-12-06T12:51:50,10,Good Service
metropolitan,2019-12-06T12:51:50,9,Minor Delays
northern,2019-12-06T12:51:50,10,Good Service
piccadilly,2019-12-06T12:51:50,10,Good Service
victoria,2019-12-06T12:51:50,10,Good Service
waterloo-city,2019-12-06T12:51:50,10,Good Service
bakerloo,2019-12-12T15:51:51,10,Good Service
central,2019-12-12T15:51:51,10,Good Service
circle,2019-12-12T15:51:51,10,Good Service
district,2019-12-12T15:51:51,10,Good Service
hammersmith-city,2019-12-12T15:51:51,10,Good Service
jubilee,2019-12-12T15:51:51,10,Good Service
metropolitan,2019-12-12T15:51:51,9,Minor Delays
northern,2019-12-12T15:51:51,10,Good Service
piccadilly,2019-12-12T15:51:51,10,Good Service
victoria,2019-12-12T15:51:51,10,Good Service
waterloo-city,2019-12-12T15:51:51,10,Good Service
bakerloo,2019-12-11T23:51:50,10,Good Service
central,2019-12-11T23:51:50,6,Severe Delays
circle,2019-12-11T23:51:50,10,Good Service
district,2019-12-11T23:51:50,10,Good Service
hammersmith-city,2019-12-11T23:51:50,10,Good Service
jubilee,2019-12-11T23:51:50,10,Good Service
metropolitan,2019-12-11T23:51:50,10,Good Service
northern,2019-12-11T23:51:50,10,Good Service
piccadilly,2019-12-11T23:51:50,10,Good Service
victoria,2019-12-11T23:51:50,10,Good Service
waterloo-city,2019-12-11T23:51:50,10,Good Service
bakerloo,2019-12-13T22:51:51,10,Good Service
central,2019-12-13T22:51:51,10,Good Service
circle,2019-12-13T22:51:51,6,Severe Delays
district,2019-12-13T22:51:51,10,Good Service
hammersmith-city,2019-12-13T22:51:51,9,Minor Delays
jubilee,2019-12-13T22:51:51,10,Good Service
metropolitan,2019-12-13T22:51:51,10,Good Service
northern,2019-12-13T22:51:51,10,Good Service
piccadilly,2019-12-13T22:51:51,10,Good Service
victoria,2019-12-13T22:51:51,10,Good Service
waterloo-city,2019-12-13T22:51:51,10,Good Service
bakerloo,2019-12-12T01:51:51,20,Service Closed
central,2019-12-12T01:51:51,20,Service Closed
circle,2019-12-12T01:51:51,20,Service Closed
district,2019-12-12T01:51:51,20,Service Closed
hammersmith-city,2019-12-12T01:51:51,20,Service Closed
jubilee,2019-12-12T01:51:51,20,Service Closed
metropolitan,2019-12-12T01:51:51,20,Service Closed
northern,2019-12-12T01:51:51,20,Service Closed
piccadilly,2019-12-12T01:51:51,20,Service Closed
victoria,2019-12-12T01:51:51,20,Service Closed
waterloo-city,2019-12-12T01:51:51,20,Service Closed
bakerloo,2019-12-11T12:51:51,10,Good Service
central,2019-12-11T12:51:51,10,Good Service
circle,2019-12-11T12:51:51,10,Good Service
district,2019-12-11T12:51:51,10,Good Service
hammersmith-city,2019-12-11T12:51:51,10,Good Service
jubilee,2019-12-11T12:51:51,10,Good Service
metropolitan,2019-12-11T12:51:51,10,Good Service
northern,2019-12-11T12:51:51,10,Good Service
piccadilly,2019-12-11T12:51:51,10,Good Service
victoria,2019-12-11T12:51:51,10,Good Service
waterloo-city,2019-12-11T12:51:51,10,Good Service
bakerloo,2019-12-16T02:51:51,10,Good Service
central,2019-12-16T02:51:51,10,Good Service
circle,2019-12-16T02:51:51,10,Good Service
district,2019-12-16T02:51:51,10,Good Service
hammersmith-city,2019-12-16T02:51:51,10,Good Service
jubilee,2019-12-16T02:51:51,10,Good Service
metropolitan,2019-12-16T02:51:51,10,Good Service
northern,2019-12-16T02:51:51,10,Good Service
piccadilly,2019-12-16T02:51:51,10,Good Service
victoria,2019-12-16T02:51:51,10,Good Service
waterloo-city,2019-12-16T02:51:51,10,Good Service
bakerloo,2019-12-18T00:51:50,10,Good Service
central,2019-12-18T00:51:50,10,Good Service
circle,2019-12-18T00:51:50,10,Good Service
district,2019-12-18T00:51:50,10,Good Service
hammersmith-city,2019-12-18T00:51:50,10,Good Service
jubilee,2019-12-18T00:51:50,10,Good Service
metropolitan,2019-12-18T00:51:50,10,Good Service
northern,2019-12-18T00:51:50,10,Good Service
piccadilly,2019-12-18T00:51:50,10,Good Service
victoria,2019-12-18T00:51:50,10,Good Service
waterloo-city,2019-12-18T00:51:50,20,Service Closed
bakerloo,2019-12-16T06:51:53,10,Good Service
central,2019-12-16T06:51:53,10,Good Service
circle,2019-12-16T06:51:53,10,Good Service
district,2019-12-16T06:51:53,10,Good Service
hammersmith-city,2019-12-16T06:51:53,10,Good Service
jubilee,2019-12-16T06:51:53,10,Good Service
metropolitan,2019-12-16T06:51:53,10,Good Service
northern,2019-12-16T06:51:53,10,Good Service
piccadilly,2019-12-16T06:51:53,10,Good Service
victoria,2019-12-16T06:51:53,10,Good Service
waterloo-city,2019-12-16T06:51:53,10,Good Service
bakerloo,2019-12-15T22:51:50,10,Good Service
central,2019-12-15T22:51:50,10,Good Service
circle,2019-12-15T22:51:50,10,Good Service
district,2019-12-15T22:51:50,10,Good Service
hammersmith-city,2019-12-15T22:51:50,10,Good Service
jubilee,2019-12-15T22:51:50,10,Good Service
metropolitan,2019-12-15T22:51:50,10,Good Service
northern,2019-12-15T22:51:50,10,Good Service
piccadilly,2019-12-15T22:51:50,10,Good Service
victoria,2019-12-15T22:51:50,10,Good Service
waterloo-city,2019-12-15T22:51:50,10,Good Service
bakerloo,2019-12-11T06:51:50,10,Good Service
central,2019-12-11T06:51:50,10,Good Service
circle,2019-12-11T06:51:50,10,Good Service
district,2019-12-11T06:51:50,10,Good Service
hammersmith-city,2019-12-11T06:51:50,10,Good Service
jubilee,2019-12-11T06:51:50,10,Good Service
metropolitan,2019-12-11T06:51:50,10,Good Service
northern,2019-12-11T06:51:50,10,Good Service
piccadilly,2019-12-11T06:51:50,10,Good Service
victoria,2019-12-11T06:51:50,10,Good Service
waterloo-city,2019-12-11T06:51:50,10,Good Service
bakerloo,2019-12-10T16:51:50,10,Good Service
central,2019-12-10T16:51:50,10,Good Service
circle,2019-12-10T16:51:50,10,Good Service
district,2019-12-10T16:51:50,10,Good Service
hammersmith-city,2019-12-10T16:51:50,10,Good Service
jubilee,2019-12-10T16:51:50,10,Good Service
metropolitan,2019-12-10T16:51:50,10,Good Service
northern,2019-12-10T16:51:50,10,Good Service
piccadilly,2019-12-10T16:51:50,10,Good Service
victoria,2019-12-10T16:51:50,10,Good Service
waterloo-city,2019-12-10T16:51:50,10,Good Service
bakerloo,2019-12-16T14:51:51,10,Good Service
central,2019-12-16T14:51:51,9,Minor Delays
circle,2019-12-16T14:51:51,10,Good Service
district,2019-12-16T14:51:51,10,Good Service
hammersmith-city,2019-12-16T14:51:51,10,Good Service
jubilee,2019-12-16T14:51:51,10,Good Service
metropolitan,2019-12-16T14:51:51,10,Good Service
northern,2019-12-16T14:51:51,10,Good Service
piccadilly,2019-12-16T14:51:51,10,Good Service
victoria,2019-12-16T14:51:51,10,Good Service
waterloo-city,2019-12-16T14:51:51,10,Good Service
bakerloo,2019-12-05T07:51:52,10,Good Service
central,2019-12-05T07:51:52,10,Good Service
circle,2019-12-05T07:51:52,6,Severe Delays
district,2019-12-05T07:51:52,6,Severe Delays
hammersmith-city,2019-12-05T07:51:52,6,Severe Delays
jubilee,2019-12-05T07:51:52,10,Good Service
metropolitan,2019-12-05T07:51:52,6,Severe Delays
northern,2019-12-05T07:51:52,10,Good Service
piccadilly,2019-12-05T07:51:52,10,Good Service
victoria,2019-12-05T07:51:52,10,Good Service
waterloo-city,2019-12-05T07:51:52,10,Good Service
bakerloo,2019-12-06T07:51:51,10,Good Service
central,2019-12-06T07:51:51,10,Good Service
circle,2019-12-06T07:51:51,6,Severe Delays
district,2019-12-06T07:51:51,10,Good Service
hammersmith-city,2019-12-06T07:51:51,6,Severe Delays
jubilee,2019-12-06T07:51:51,10,Good Service
metropolitan,2019-12-06T07:51:51,3,Part Suspended
northern,2019-12-06T07:51:51,10,Good Service
piccadilly,2019-12-06T07:51:51,10,Good Service
victoria,2019-12-06T07:51:51,10,Good Service
waterloo-city,2019-12-06T07:51:51,10,Good Service
bakerloo,2019-12-05T16:51:51,10,Good Service
central,2019-12-05T16:51:51,10,Good Service
circle,2019-12-05T16:51:51,10,Good Service
district,2019-12-05T16:51:51,10,Good Service
hammersmith-city,2019-12-05T16:51:51,10,Good Service
jubilee,2019-12-05T16:51:51,10,Good Service
metropolitan,2019-12-05T16:51:51,10,Good Service
northern,2019-12-05T16:51:51,10,Good Service
piccadilly,2019-12-05T16:51:51,10,Good Service
victoria,2019-12-05T16:51:51,10,Good Service
waterloo-city,2019-12-05T16:51:51,10,Good Service
bakerloo,2019-12-13T19:51:53,10,Good Service
central,2019-12-13T19:51:53,10,Good Service
circle,2019-12-13T19:51:53,10,Good Service
district,2019-12-13T19:51:53,6,Severe Delays
hammersmith-city,2019-12-13T19:51:53,10,Good Service
jubilee,2019-12-13T19:51:53,10,Good Service
metropolitan,2019-12-13T19:51:53,10,Good Service
northern,2019-12-13T19:51:53,10,Good Service
piccadilly,2019-12-13T19:51:53,10,Good Service
victoria,2019-12-13T19:51:53,10,Good Service
waterloo-city,2019-12-13T19:51:53,10,Good Service
bakerloo,2019-12-13T20:51:50,10,Good Service
central,2019-12-13T20:51:50,10,Good Service
circle,2019-12-13T20:51:50,9,Minor Delays
district,2019-12-13T20:51:50,9,Minor Delays
hammersmith-city,2019-12-13T20:51:50,9,Minor Delays
jubilee,2019-12-13T20:51:50,10,Good Service
metropolitan,2019-12-13T20:51:50,10,Good Service
northern,2019-12-13T20:51:50,10,Good Service
piccadilly,2019-12-13T20:51:50,10,Good Service
victoria,2019-12-13T20:51:50,10,Good Service
waterloo-city,2019-12-13T20:51:50,10,Good Service
bakerloo,2019-12-11T16:51:50,10,Good Service
central,2019-12-11T16:51:50,9,Minor Delays
circle,2019-12-11T16:51:50,10,Good Service
district,2019-12-11T16:51:50,10,Good Service
hammersmith-city,2019-12-11T16:51:50,10,Good Service
jubilee,2019-12-11T16:51:50,10,Good Service
metropolitan,2019-12-11T16:51:50,10,Good Service
northern,2019-12-11T16:51:50,10,Good Service
piccadilly,2019-12-11T16:51:50,10,Good Service
victoria,2019-12-11T16:51:50,10,Good Service
waterloo-city,2019-12-11T16:51:50,10,Good Service
bakerloo,2019-12-09T13:51:50,10,Good Service
central,2019-12-09T13:51:50,10,Good Service
circle,2019-12-09T13:51:50,10,Good Service
district,2019-12-09T13:51:50,10,Good Service
hammersmith-city,2019-12-09T13:51:50,10,Good Service
jubilee,2019-12-09T13:51:50,10,Good Service
metropolitan,2019-12-09T13:51:50,10,Good Service
northern,2019-12-09T13:51:50,10,Good Service
piccadilly,2019-12-09T13:51:50,10,Good Service
victoria,2019-12-09T13:51:50,10,Good Service
waterloo-city,2019-12-09T13:51:50,10,Good Service
bakerloo,2019-12-14T10:51:51,10,Good Service
central,2019-12-14T10:51:51,10,Good Service
circle,2019-12-14T10:51:51,10,Good Service
district,2019-12-14T10:51:51,10,Good Service
hammersmith-city,2019-12-14T10:51:51,10,Good Service
jubilee,2019-12-14T10:51:51,10,Good Service
metropolitan,2019-12-14T10:51:51,10,Good Service
northern,2019-12-14T10:51:51,10,Good Service
piccadilly,2019-12-14T10:51:51,10,Good Service
victoria,2019-12-14T10:51:51,10,Good Service
waterloo-city,2019-12-14T10:51:51,10,Good Service
bakerloo,2019-12-06T20:51:51,10,Good Service
central,2019-12-06T20:51:51,10,Good Service
circle,2019-12-06T20:51:51,10,Good Service
district,2019-12-06T20:51:51,10,Good Service
hammersmith-city,2019-12-06T20:51:51,10,Good Service
jubilee,2019-12-06T20:51:51,10,Good Service
metropolitan,2019-12-06T20:51:51,10,Good Service
northern,2019-12-06T20:51:51,10,Good Service
piccadilly,2019-12-06T20:51:51,9,Minor Delays
victoria,2019-12-06T20:51:51,10,Good Service
waterloo-city,2019-12-06T20:51:51,10,Good Service
bakerloo,2019-12-13T12:51:51,10,Good Service
central,2019-12-13T12:51:51,10,Good Service
circle,2019-12-13T12:51:51,10,Good Service
district,2019-12-13T12:51:51,10,Good Service
hammersmith-city,2019-12-13T12:51:51,10,Good Service
jubilee,2019-12-13T12:51:51,10,Good Service
metropolitan,2019-12-13T12:51:51,10,Good Service
northern,2019-12-13T12:51:51,10,Good Service
piccadilly,2019-12-13T12:51:51,10,Good Service
victoria,2019-12-13T12:51:51,10,Good Service
waterloo-city,2019-12-13T12:51:51,10,Good Service
bakerloo,2019-12-11T13:51:51,10,Good Service
central,2019-12-11T13:51:51,10,Good Service
circle,2019-12-11T13:51:51,10,Good Service
district,2019-12-11T13:51:51,10,Good Service
hammersmith-city,2019-12-11T13:51:51,10,Good Service
jubilee,2019-12-11T13:51:51,10,Good Service
metropolitan,2019-12-11T13:51:51,10,Good Service
northern,2019-12-11T13:51:51,10,Good Service
piccadilly,2019-12-11T13:51:51,10,Good Service
victoria,2019-12-11T13:51:51,10,Good Service
waterloo-city,2019-12-11T13:51:51,10,Good Service
bakerloo,2019-12-10T15:51:51,10,Good Service
central,2019-12-10T15:51:51,10,Good Service
circle,2019-12-10T15:51:51,10,Good Service
district,2019-12-10T15:51:51,10,Good Service
hammersmith-city,2019-12-10T15:51:51,10,Good Service
jubilee,2019-12-10T15:51:51,10,Good Service
metropolitan,2019-12-10T15:51:51,10,Good Service
northern,2019-12-10T15:51:51,10,Good Service
piccadilly,2019-12-10T15:51:51,10,Good Service
victoria,2019-12-10T15:51:51,10,Good Service
waterloo-city,2019-12-10T15:51:51,10,Good Service
bakerloo,2019-12-14T01:51:51,20,Service Closed
central,2019-12-14T01:51:51,10,Good Service
circle,2019-12-14T01:51:51,20,Service Closed
district,2019-12-14T01:51:51,20,Service Closed
hammersmith-city,2019-12-14T01:51:51,20,Service Closed
jubilee,2019-12-14T01:51:51,10,Good Service
metropolitan,2019-12-14T01:51:51,20,Service Closed
northern,2019-12-14T01:51:51,10,Good Service
piccadilly,2019-12-14T01:51:51,10,Good Service
victoria,2019-12-14T01:51:51,10,Good Service
waterloo-city,2019-12-14T01:51:51,20,Service Closed
bakerloo,2019-12-11T08:51:51,10,Good Service
central,2019-12-11T08:51:51,10,Good Service
circle,2019-12-11T08:51:51,10,Good Service
district,2019-12-11T08:51:51,10,Good Service
hammersmith-city,2019-12-11T08:51:51,10,Good Service
jubilee,2019-12-11T08:51:51,9,Minor Delays
metropolitan,2019-12-11T08:51:51,10,Good Service
northern,2019-12-11T08:51:51,6,Severe Delays
piccadilly,2019-12-11T08:51:51,10,Good Service
victoria,2019-12-11T08:51:51,10,Good Service
waterloo-city,2019-12-11T08:51:51,10,Good Service
bakerloo,2019-12-05T23:51:51,10,Good Service
central,2019-12-05T23:51:51,10,Good Service
circle,2019-12-05T23:51:51,10,Good Service
district,2019-12-05T23:51:51,10,Good Service
hammersmith-city,2019-12-05T23:51:51,10,Good Service
jubilee,2019-12-05T23:51:51,10,Good Service
metropolitan,2019-12-05T23:51:51,10,Good Service
northern,2019-12-05T23:51:51,10,Good Service
piccadilly,2019-12-05T23:51:51,10,Good Service
victoria,2019-12-05T23:51:51,10,Good Service
waterloo-city,2019-12-05T23:51:51,10,Good Service
bakerloo,2019-12-07T23:51:50,10,Good Service
central,2019-12-07T23:51:50,10,Good Service
circle,2019-12-07T23:51:50,10,Good Service
district,2019-12-07T23:51:50,10,Good Service
hammersmith-city,2019-12-07T23:51:50,10,Good Service
jubilee,2019-12-07T23:51:50,10,Good Service
metropolitan,2019-12-07T23:51:50,10,Good Service
northern,2019-12-07T23:51:50,10,Good Service
piccadilly,2019-12-07T23:51:50,9,Minor Delays
victoria,2019-12-07T23:51:50,10,Good Service
waterloo-city,2019-12-07T23:51:50,10,Good Service
bakerloo,2019-12-08T11:51:50,10,Good Service
central,2019-12-08T11:51:50,10,Good Service
circle,2019-12-08T11:51:50,10,Good Service
district,2019-12-08T11:51:50,10,Good Service
hammersmith-city,2019-12-08T11:51:50,10,Good Service
jubilee,2019-12-08T11:51:50,10,Good Service
metropolitan,2019-12-08T11:51:50,10,Good Service
northern,2019-12-08T11:51:50,10,Good Service
piccadilly,2019-12-08T11:51:50,10,Good Service
victoria,2019-12-08T11:51:50,10,Good Service
waterloo-city,2019-12-08T11:51:50,20,Service Closed
bakerloo,2019-12-15T05:51:51,10,Good Service
central,2019-12-15T05:51:51,10,Good Service
circle,2019-12-15T05:51:51,4,Planned Closure
district,2019-12-15T05:51:51,5,Part Closure
hammersmith-city,2019-12-15T05:51:51,5,Part Closure
jubilee,2019-12-15T05:51:51,10,Good Service
metropolitan,2019-12-15T05:51:51,5,Part Closure
northern,2019-12-15T05:51:51,10,Good Service
piccadilly,2019-12-15T05:51:51,10,Good Service
victoria,2019-12-15T05:51:51,10,Good Service
waterloo-city,2019-12-15T05:51:51,10,Good Service
bakerloo,2019-12-04T23:51:50,9,Minor Delays
central,2019-12-04T23:51:50,10,Good Service
circle,2019-12-04T23:51:50,10,Good Service
district,2019-12-04T23:51:50,10,Good Service
hammersmith-city,2019-12-04T23:51:50,10,Good Service
jubilee,2019-12-04T23:51:50,10,Good Service
metropolitan,2019-12-04T23:51:50,10,Good Service
northern,2019-12-04T23:51:50,10,Good Service
piccadilly,2019-12-04T23:51:50,10,Good Service
victoria,2019-12-04T23:51:50,10,Good Service
waterloo-city,2019-12-04T23:51:50,10,Good Service
bakerloo,2019-12-11T14:51:51,10,Good Service
central,2019-12-11T14:51:51,10,Good Service
circle,2019-12-11T14:51:51,10,Good Service
district,2019-12-11T14:51:51,10,Good Service
hammersmith-city,2019-12-11T14:51:51,10,Good Service
jubilee,2019-12-11T14:51:51,10,Good Service
metropolitan,2019-12-11T14:51:51,10,Good Service
northern,2019-12-11T14:51:51,10,Good Service
piccadilly,2019-12-11T14:51:51,10,Good Service
victoria,2019-12-11T14:51:51,10,Good Service
waterloo-city,2019-12-11T14:51:51,10,Good Service
bakerloo,2019-12-14T03:51:50,20,Service Closed
central,2019-12-14T03:51:50,10,Good Service
circle,2019-12-14T03:51:50,20,Service Closed
district,2019-12-14T03:51:50,20,Service Closed
hammersmith-city,2019-12-14T03:51:50,20,Service Closed
jubilee,2019-12-14T03:51:50,10,Good Service
metropolitan,2019-12-14T03:51:50,20,Service Closed
northern,2019-12-14T03:51:50,10,Good Service
piccadilly,2019-12-14T03:51:50,10,Good Service
victoria,2019-12-14T03:51:50,10,Good Service
waterloo-city,2019-12-14T03:51:50,20,Service Closed
bakerloo,2019-12-17T06:51:51,10,Good Service
central,2019-12-17T06:51:51,10,Good Service
circle,2019-12-17T06:51:51,10,Good Service
district,2019-12-17T06:51:51,10,Good Service
hammersmith-city,2019-12-17T06:51:51,10,Good Service
jubilee,2019-12-17T06:51:51,10,Good Service
metropolitan,2019-12-17T06:51:51,10,Good Service
northern,2019-12-17T06:51:51,10,Good Service
piccadilly,2019-12-17T06:51:51,10,Good Service
victoria,2019-12-17T06:51:51,10,Good Service
waterloo-city,2019-12-17T06:51:51,10,Good Service
bakerloo,2019-12-07T20:51:50,10,Good Service
central,2019-12-07T20:51:50,10,Good Service
circle,2019-12-07T20:51:50,10,Good Service
district,2019-12-07T20:51:50,10,Good Service
hammersmith-city,2019-12-07T20:51:50,10,Good Service
jubilee,2019-12-07T20:51:50,10,Good Service
metropolitan,2019-12-07T20:51:50,10,Good Service
northern,2019-12-07T20:51:50,10,Good Service
piccadilly,2019-12-07T20:51:50,10,Good Service
victoria,2019-12-07T20:51:50,10,Good Service
waterloo-city,2019-12-07T20:51:50,10,Good Service
bakerloo,2019-12-06T16:51:50,10,Good Service
central,2019-12-06T16:51:50,10,Good Service
circle,2019-12-06T16:51:50,10,Good Service
district,2019-12-06T16:51:50,10,Good Service
hammersmith-city,2019-12-06T16:51:50,10,Good Service
jubilee,2019-12-06T16:51:50,10,Good Service
metropolitan,2019-12-06T16:51:50,10,Good Service
northern,2019-12-06T16:51:50,10,Good Service
piccadilly,2019-12-06T16:51:50,10,Good Service
victoria,2019-12-06T16:51:50,10,Good Service
waterloo-city,2019-12-06T16:51:50,10,Good Service
bakerloo,2019-12-05T06:51:51,10,Good Service
central,2019-12-05T06:51:51,10,Good Service
circle,2019-12-05T06:51:51,6,Severe Delays
district,2019-12-05T06:51:51,9,Minor Delays
hammersmith-city,2019-12-05T06:51:51,6,Severe Delays
jubilee,2019-12-05T06:51:51,10,Good Service
metropolitan,2019-12-05T06:51:51,6,Severe Delays
northern,2019-12-05T06:51:51,10,Good Service
piccadilly,2019-12-05T06:51:51,10,Good Service
victoria,2019-12-05T06:51:51,10,Good Service
waterloo-city,2019-12-05T06:51:51,10,Good Service
bakerloo,2019-12-07T13:51:51,10,Good Service
central,2019-12-07T13:51:51,10,Good Service
circle,2019-12-07T13:51:51,10,Good Service
district,2019-12-07T13:51:51,10,Good Service
hammersmith-city,2019-12-07T13:51:51,10,Good Service
jubilee,2019-12-07T13:51:51,10,Good Service
metropolitan,2019-12-07T13:51:51,10,Good Service
northern,2019-12-07T13:51:51,10,Good Service
piccadilly,2019-12-07T13:51:51,10,Good Service
victoria,2019-12-07T13:51:51,10,Good Service
waterloo-city,2019-12-07T13:51:51,10,Good Service
bakerloo,2019-12-14T21:51:50,10,Good Service
central,2019-12-14T21:51:50,9,Minor Delays
circle,2019-12-14T21:51:50,10,Good Service
district,2019-12-14T21:51:50,10,Good Service
hammersmith-city,2019-12-14T21:51:50,10,Good Service
jubilee,2019-12-14T21:51:50,10,Good Service
metropolitan,2019-12-14T21:51:50,10,Good Service
northern,2019-12-14T21:51:50,10,Good Service
piccadilly,2019-12-14T21:51:50,10,Good Service
victoria,2019-12-14T21:51:50,9,Minor Delays
waterloo-city,2019-12-14T21:51:50,10,Good Service
bakerloo,2019-12-11T05:51:51,10,Good Service
central,2019-12-11T05:51:51,10,Good Service
circle,2019-12-11T05:51:51,10,Good Service
district,2019-12-11T05:51:51,10,Good Service
hammersmith-city,2019-12-11T05:51:51,10,Good Service
jubilee,2019-12-11T05:51:51,10,Good Service
metropolitan,2019-12-11T05:51:51,10,Good Service
northern,2019-12-11T05:51:51,10,Good Service
piccadilly,2019-12-11T05:51:51,10,Good Service
victoria,2019-12-11T05:51:51,10,Good Service
waterloo-city,2019-12-11T05:51:51,10,Good Service
bakerloo,2019-12-11T09:51:50,10,Good Service
central,2019-12-11T09:51:50,10,Good Service
circle,2019-12-11T09:51:50,10,Good Service
district,2019-12-11T09:51:50,10,Good Service
hammersmith-city,2019-12-11T09:51:50,10,Good Service
jubilee,2019-12-11T09:51:50,9,Minor Delays
metropolitan,2019-12-11T09:51:50,10,Good Service
northern,2019-12-11T09:51:50,10,Good Service
piccadilly,2019-12-11T09:51:50,10,Good Service
victoria,2019-12-11T09:51:50,10,Good Service
waterloo-city,2019-12-11T09:51:50,10,Good Service
bakerloo,2019-12-04T06:51:52,10,Good Service
central,2019-12-04T06:51:52,10,Good Service
circle,2019-12-04T06:51:52,10,Good Service
district,2019-12-04T06:51:52,10,Good Service
hammersmith-city,2019-12-04T06:51:52,10,Good Service
jubilee,2019-12-04T06:51:52,10,Good Service
metropolitan,2019-12-04T06:51:52,9,Minor Delays
northern,2019-12-04T06:51:52,10,Good Service
piccadilly,2019-12-04T06:51:52,10,Good Service
